File,Method,MSE,MAE,MSE_X,MSE_Y,MSE_Z
branch.obj,minmax,7.825607101132715e-07,0.0007341886574664927,9.066502448733277e-07,1.168880082988669e-06,2.721518024778128e-07
branch.obj,unitsphere,5.506030137990716e-07,0.0006347087790160884,5.253765433993663e-07,5.357318972943793e-07,5.907006007034686e-07
cylinder.obj,minmax,7.96625842103358e-07,0.0006109481915933477,1.1949387631550374e-06,0.0,1.1949387631550376e-06
cylinder.obj,unitsphere,5.785786510208836e-07,0.0006912090817138717,6.725867001166468e-07,5.100050514902649e-07,5.531442014557393e-07
explosive.obj,minmax,1.2386690987247196e-07,0.0002761670768004887,5.3447796751325164e-08,2.6996848414904496e-07,4.8184448717046014e-08
explosive.obj,unitsphere,8.86801651242211e-08,0.00025193713826018193,9.159951968328518e-08,8.615260530742738e-08,8.828837038195104e-08
fence.obj,minmax,1.56312666690701e-07,0.00027230284381653746,2.5921694022658823e-07,2.09638914982704e-07,8.21448628103778e-11
fence.obj,unitsphere,1.2290519903512133e-07,0.0003136014962309839,1.24682345376183e-07,1.4471116022458258e-07,9.932209150459885e-08
girl.obj,minmax,2.061304878207007e-07,0.00036974312514484676,3.17334351973688e-07,2.593762863266633e-07,4.1680825161748996e-08
girl.obj,unitsphere,9.560183491694422e-08,0.00026777480526284087,1.0108323379317972e-07,9.586673211702713e-08,8.98555388406264e-08
person.obj,minmax,7.627647039488758e-07,0.0006777915257883516,9.175623124793508e-07,1.308141594470648e-06,6.259020489662453e-08
person.obj,unitsphere,4.3425638424246565e-07,0.0005674573168699937,4.221639215305712e-07,4.4590202588233133e-07,4.3470320531449653e-07
table.obj,minmax,1.4998956969640913e-07,0.0003104455592008901,4.328936282290053e-08,1.0676620264131728e-07,2.9991314362501064e-07
table.obj,unitsphere,1.170141907852192e-07,0.00029688665366339544,1.0655603034475904e-07,1.2024942964548651e-07,1.2423711236541066e-07
talwar.obj,minmax,1.2947444892617637e-07,0.0002268892872469783,1.367390471853075e-09,3.69782705402362e-07,1.7273250904314433e-08
talwar.obj,unitsphere,1.5352200889344786e-07,0.00033954328188567554,1.5252809410980331e-07,1.4875605014721367e-07,1.5928188242332727e-07
